chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.6
celestia,71.21,23.51
cosmoshub,93.96,28.19
injective,45.62,21.91
near,99.61,27.61
osmosis,78.07,22.62
sei,26.92,17.1
solana,100.0,28.69
sui,72.83,18.1
tezos,98.7,28.96
