chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.47
celestia,57.56,23.25
cosmoshub,84.33,27.91
injective,26.92,21.5
near,94.93,27.44
osmosis,58.33,21.77
sei,15.91,16.61
solana,100.0,28.52
sui,53.23,17.49
tezos,89.91,28.78
