chain,bound_reduction_%,mu_reduction_%
avalanche,98.32,27.22
celestia,17.82,22.23
cosmoshub,43.66,27.48
injective,10.78,21.1
near,73.31,27.27
osmosis,14.06,20.54
sei,1.31,15.49
solana,98.93,28.14
sui,16.61,16.7
tezos,63.14,28.62
