chain,bound_reduction_%,mu_reduction_%
avalanche,97.82,27.41
celestia,17.22,22.26
cosmoshub,44.62,27.47
injective,11.02,21.07
near,74.3,27.29
osmosis,15.41,20.44
sei,1.54,15.37
solana,98.89,28.13
sui,17.03,16.66
tezos,62.22,28.6
