chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.81
celestia,71.2,23.51
cosmoshub,94.37,28.17
injective,45.7,21.9
near,99.64,27.63
osmosis,78.73,22.51
sei,27.35,16.91
solana,100.0,28.67
sui,72.94,18.06
tezos,98.58,28.94
