file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,938,0.000,375,0.200,77.109377,4.945047e-05,0.000000
avalanche_weights.csv,938,0.100,375,0.200,69.958141,5.380422e-07,0.000000
avalanche_weights.csv,938,0.200,375,0.200,62.806904,1.215113e-09,0.000000
avalanche_weights.csv,938,0.300,375,0.200,55.655668,3.107089e-13,0.000000
avalanche_weights.csv,938,0.000,375,0.250,97.513663,7.558181e-02,0.000000
avalanche_weights.csv,938,0.100,375,0.250,88.521892,6.666676e-03,0.000000
avalanche_weights.csv,938,0.200,375,0.250,79.530120,1.724296e-04,0.000000
avalanche_weights.csv,938,0.300,375,0.250,70.538349,8.180404e-07,0.000000
avalanche_weights.csv,938,0.000,375,0.300,112.638603,6.362295e-01,0.000000
avalanche_weights.csv,938,0.100,375,0.300,102.294252,1.863813e-01,0.000000
avalanche_weights.csv,938,0.200,375,0.300,91.949902,1.906697e-02,0.000000
avalanche_weights.csv,938,0.300,375,0.300,81.605551,4.565603e-04,0.000000
avalanche_weights.csv,938,0.000,375,0.330,126.629898,1.000000e+00,0.000000
avalanche_weights.csv,938,0.100,375,0.330,115.046332,7.504669e-01,0.000000
avalanche_weights.csv,938,0.200,375,0.330,103.462767,2.243773e-01,0.000000
avalanche_weights.csv,938,0.300,375,0.330,91.879201,1.868905e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.247415,5.478355e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.522673,4.044882e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.797932,2.698800e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.073190,1.577330e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.675830,8.021111e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.848247,6.629210e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.020664,5.029432e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.193081,3.413046e-01,0.000000
