chain,bound_reduction_%,mu_reduction_%
avalanche,99.8,27.46
celestia,28.22,22.69
cosmoshub,65.87,27.7
injective,10.88,21.09
near,87.54,27.38
osmosis,36.84,21.07
sei,7.38,16.01
solana,99.92,28.26
sui,31.87,16.97
tezos,62.06,28.61
