chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.41
celestia,53.43,22.24
cosmoshub,92.27,28.26
injective,26.9,21.5
near,96.94,27.77
osmosis,57.59,21.85
sei,18.0,15.8
solana,100.0,28.47
sui,54.49,17.55
tezos,82.49,28.86
