chain,bound_reduction_%,mu_reduction_%
avalanche,99.75,27.28
celestia,32.85,21.36
cosmoshub,62.63,27.74
injective,10.65,21.11
near,90.77,27.71
osmosis,36.48,21.09
sei,9.3,15.37
solana,99.95,28.27
sui,32.93,17.04
tezos,82.49,28.86
