chain,bound_reduction_%,mu_reduction_%
avalanche,99.82,27.35
celestia,28.75,22.66
cosmoshub,66.48,27.69
injective,10.83,21.09
near,87.65,27.37
osmosis,37.08,21.05
sei,7.38,16.01
solana,99.92,28.27
sui,31.7,16.99
tezos,62.94,28.62
