chain,bound_reduction_%,mu_reduction_%
avalanche,97.06,27.21
celestia,17.72,22.24
cosmoshub,43.58,27.48
injective,10.83,21.09
near,74.33,27.28
osmosis,14.83,20.48
sei,1.39,15.45
solana,98.94,28.14
sui,16.61,16.7
tezos,62.94,28.62
