chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.5
celestia,57.51,23.25
cosmoshub,84.32,27.91
injective,26.98,21.49
near,95.24,27.44
osmosis,58.96,21.7
sei,16.04,16.57
solana,100.0,28.53
sui,53.23,17.49
tezos,89.84,28.77
