chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.66
celestia,57.45,23.26
cosmoshub,84.37,27.91
injective,26.61,21.54
near,95.01,27.4
osmosis,58.66,21.73
sei,16.43,16.43
solana,100.0,28.5
sui,53.38,17.46
tezos,89.49,28.76
