chain,bound_reduction_%,mu_reduction_%
avalanche,98.13,27.44
celestia,17.22,22.26
cosmoshub,43.78,27.48
injective,10.39,21.14
near,73.75,27.23
osmosis,14.24,20.53
sei,1.58,15.34
solana,99.0,28.12
sui,16.9,16.67
tezos,62.25,28.61
