chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.5
celestia,74.26,23.17
cosmoshub,98.15,28.58
injective,45.27,21.96
near,99.82,27.93
osmosis,77.7,22.68
sei,27.31,16.93
solana,100.0,28.62
sui,73.97,18.14
tezos,97.76,29.02
