chain,bound_reduction_%,mu_reduction_%
avalanche,97.21,27.2
celestia,15.21,20.45
cosmoshub,62.84,27.73
injective,10.69,21.11
near,77.64,27.62
osmosis,15.14,20.46
sei,1.0,15.68
solana,99.0,28.08
sui,17.65,16.76
tezos,43.74,28.71
