file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,923,0.000,369,0.200,76.681769,8.908714e-05,0.000000
avalanche_weights.csv,923,0.100,369,0.200,69.573289,1.149928e-06,0.000000
avalanche_weights.csv,923,0.200,369,0.200,62.464809,3.216214e-09,0.000000
avalanche_weights.csv,923,0.300,369,0.200,55.356328,1.081357e-12,0.000000
avalanche_weights.csv,923,0.000,369,0.250,92.956057,3.928970e-02,0.000000
avalanche_weights.csv,923,0.100,369,0.250,84.380061,2.761473e-03,0.000000
avalanche_weights.csv,923,0.200,369,0.250,75.804065,5.574087e-05,0.000000
avalanche_weights.csv,923,0.300,369,0.250,67.228069,2.004570e-07,0.000000
avalanche_weights.csv,923,0.000,369,0.300,111.464068,6.716828e-01,0.000000
avalanche_weights.csv,923,0.100,369,0.300,101.237162,2.102529e-01,0.000000
avalanche_weights.csv,923,0.200,369,0.300,91.010257,2.356273e-02,0.000000
avalanche_weights.csv,923,0.300,369,0.300,80.783352,6.400191e-04,0.000000
avalanche_weights.csv,923,0.000,369,0.330,124.978602,1.000000e+00,0.000000
avalanche_weights.csv,923,0.100,369,0.330,113.560157,7.698446e-01,0.000000
avalanche_weights.csv,923,0.200,369,0.330,102.141712,2.417578e-01,0.000000
avalanche_weights.csv,923,0.300,369,0.330,90.723267,2.175935e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.248674,5.480837e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.523807,4.047095e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.798939,2.700544e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.074072,1.578514e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.674284,8.018796e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.846855,6.626648e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.019427,5.026974e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.191999,3.411016e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,13.132225,9.989739e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,12.139002,9.615880e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,11.145780,8.666543e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.152557,7.173604e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.960968,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.924871,9.957064e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.888774,9.431711e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.852678,8.277818e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.673175,4.366206e-01,0.000000
