chain,bound_reduction_%,mu_reduction_%
avalanche,99.78,27.22
celestia,29.88,22.61
cosmoshub,68.39,27.67
injective,15.22,20.59
near,89.8,27.34
osmosis,29.93,20.45
sei,4.61,16.78
solana,99.95,28.12
sui,32.01,16.95
tezos,62.54,28.68
