file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,882,0.000,352,0.200,70.491428,3.118543e-05,0.000000
avalanche_weights.csv,882,0.100,352,0.200,64.001016,3.684299e-07,0.000000
avalanche_weights.csv,882,0.200,352,0.200,57.510603,9.808472e-10,0.000000
avalanche_weights.csv,882,0.300,352,0.200,51.020190,3.332052e-13,0.000000
avalanche_weights.csv,882,0.000,352,0.250,90.075575,6.396055e-02,0.000000
avalanche_weights.csv,882,0.100,352,0.250,81.826294,5.881880e-03,0.000000
avalanche_weights.csv,882,0.200,352,0.250,73.577014,1.709781e-04,0.000000
avalanche_weights.csv,882,0.300,352,0.250,65.327733,1.015557e-06,0.000000
avalanche_weights.csv,882,0.000,352,0.300,108.390000,7.819429e-01,0.000000
avalanche_weights.csv,882,0.100,352,0.300,98.508823,3.014691e-01,0.000000
avalanche_weights.csv,882,0.200,352,0.300,88.627646,4.508660e-02,0.000000
avalanche_weights.csv,882,0.300,352,0.300,78.746470,1.831354e-03,0.000000
avalanche_weights.csv,882,0.000,352,0.330,118.718513,1.000000e+00,0.000000
avalanche_weights.csv,882,0.100,352,0.330,107.924213,7.607599e-01,0.000000
avalanche_weights.csv,882,0.200,352,0.330,97.129912,2.464002e-01,0.000000
avalanche_weights.csv,882,0.300,352,0.330,86.335612,2.448288e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.842769,4.676020e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.158492,3.348358e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.474215,2.163173e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.789938,1.222197e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.055520,7.003620e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.289968,5.562089e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.524416,4.048284e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.758864,2.631530e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.034913,9.543789e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.151422,8.673560e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.267931,7.370866e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.384439,5.747114e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.719689,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.747720,9.910727e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.775751,9.336310e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.803782,8.208463e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.744804,1.409035e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.150324,5.404139e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.555843,1.459897e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,11.961363,2.414567e-03,0.000000
