chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.73
celestia,80.67,24.14
cosmoshub,94.7,28.15
injective,45.94,21.86
near,99.51,27.72
osmosis,69.73,22.01
sei,25.52,17.64
solana,100.0,28.66
sui,72.99,18.05
tezos,98.36,28.9
