chain,bound_reduction_%,mu_reduction_%
avalanche,98.31,27.33
celestia,22.64,22.95
cosmoshub,45.49,27.46
injective,11.04,21.07
near,72.74,27.32
osmosis,15.65,20.42
sei,4.26,16.88
solana,98.95,28.12
sui,17.19,16.64
tezos,60.55,28.55
