chain,bound_reduction_%,mu_reduction_%
avalanche,99.83,27.41
celestia,35.66,23.37
cosmoshub,68.27,27.67
injective,11.04,21.07
near,86.07,27.43
osmosis,26.66,20.69
sei,4.26,16.88
solana,99.93,28.25
sui,32.18,16.93
tezos,60.55,28.55
