chain,bound_reduction_%,mu_reduction_%
avalanche,97.66,27.25
celestia,25.11,21.83
cosmoshub,45.22,27.46
injective,10.34,21.15
near,73.46,27.34
osmosis,13.54,20.58
sei,0.56,16.01
solana,98.7,28.13
sui,16.7,16.69
tezos,63.03,28.63
