chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.63
celestia,74.03,23.19
cosmoshub,93.94,28.19
injective,45.08,21.99
near,99.66,27.68
osmosis,77.34,22.74
sei,26.71,17.18
solana,100.0,28.67
sui,72.85,18.09
tezos,98.74,28.97
