chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.5
celestia,61.54,22.92
cosmoshub,84.61,27.91
injective,26.64,21.54
near,95.19,27.51
osmosis,57.6,21.85
sei,15.7,16.68
solana,100.0,28.51
sui,53.25,17.48
tezos,90.11,28.79
