chain,bound_reduction_%,mu_reduction_%
avalanche,97.97,27.23
celestia,18.87,22.17
cosmoshub,45.42,27.46
injective,4.7,19.99
near,64.32,27.12
osmosis,16.11,20.39
sei,4.23,16.89
solana,99.1,28.11
sui,17.07,16.66
tezos,66.48,28.66
