chain,bound_reduction_%,mu_reduction_%
avalanche,99.77,27.38
celestia,38.65,22.1
cosmoshub,68.07,27.67
injective,12.55,20.9
near,88.25,27.53
osmosis,34.28,21.26
sei,6.43,16.28
solana,99.9,28.26
sui,31.7,16.99
tezos,69.65,28.85
