chain,bound_reduction_%,mu_reduction_%
avalanche,97.53,27.31
celestia,16.64,21.34
cosmoshub,45.4,27.46
injective,3.21,20.28
near,74.72,27.44
osmosis,22.57,20.96
sei,0.59,15.98
solana,98.78,28.12
sui,16.61,16.7
tezos,69.65,28.85
