file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,858,0.000,343,0.200,71.833173,2.290083e-04,0.000000
avalanche_weights.csv,858,0.100,343,0.200,65.249506,4.516645e-06,0.000000
avalanche_weights.csv,858,0.200,343,0.200,58.665839,2.255151e-08,0.000000
avalanche_weights.csv,858,0.300,343,0.200,52.082172,1.693095e-11,0.000000
avalanche_weights.csv,858,0.000,343,0.250,87.802302,6.909487e-02,0.000000
avalanche_weights.csv,858,0.100,343,0.250,79.781629,6.820202e-03,0.000000
avalanche_weights.csv,858,0.200,343,0.250,71.760956,2.206958e-04,0.000000
avalanche_weights.csv,858,0.300,343,0.250,63.740283,1.536710e-06,0.000000
avalanche_weights.csv,858,0.000,343,0.300,105.680660,7.896640e-01,0.000000
avalanche_weights.csv,858,0.100,343,0.300,96.072034,3.144182e-01,0.000000
avalanche_weights.csv,858,0.200,343,0.300,86.463409,5.006384e-02,0.000000
avalanche_weights.csv,858,0.300,343,0.300,76.854784,2.260454e-03,0.000000
avalanche_weights.csv,858,0.000,343,0.330,115.735248,1.000000e+00,0.000000
avalanche_weights.csv,858,0.100,343,0.330,105.241094,7.696346e-01,0.000000
avalanche_weights.csv,858,0.200,343,0.330,94.746940,2.593299e-01,0.000000
avalanche_weights.csv,858,0.300,343,0.330,84.252786,2.787962e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.779833,4.551188e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.101850,3.243230e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.423866,2.084623e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.745883,1.171563e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.728070,8.098614e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.935263,6.788168e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.142456,5.271014e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.349649,3.710037e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.400258,9.768682e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.520232,9.092658e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.640206,7.967472e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.760180,6.465933e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.829017,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.886115,9.948397e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.943214,9.474947e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,11.000312,8.479494e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.936655,1.551631e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.322989,6.085519e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.709324,1.687026e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,12.095658,2.877085e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,20.670251,5.599818e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,18.723226,3.251884e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,16.776201,1.431800e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,14.829176,4.286130e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,26.468919,9.995077e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,24.022027,9.075093e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,21.575135,6.699729e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,19.128243,3.714670e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,26.468919,9.995077e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,24.022027,9.075093e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,21.575135,6.699729e-01,0.000000
