chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.64
celestia,74.13,23.18
cosmoshub,93.95,28.19
injective,45.26,21.97
near,99.69,27.71
osmosis,77.43,22.72
sei,26.98,17.07
solana,100.0,28.67
sui,72.87,18.09
tezos,98.7,28.97
