chain,bound_reduction_%,mu_reduction_%
avalanche,99.87,27.36
celestia,35.38,22.3
cosmoshub,68.34,27.67
injective,10.59,21.12
near,87.89,27.48
osmosis,35.28,21.18
sei,7.35,16.02
solana,99.92,28.27
sui,31.8,16.98
tezos,63.16,28.63
