chain,bound_reduction_%,mu_reduction_%
avalanche,97.89,27.16
celestia,18.14,22.21
cosmoshub,45.83,27.45
injective,4.68,19.99
near,62.94,27.09
osmosis,16.55,20.36
sei,4.51,16.81
solana,99.06,28.02
sui,17.07,16.66
tezos,62.57,28.67
