chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.38
celestia,55.44,23.4
cosmoshub,85.57,27.88
injective,28.46,21.3
near,95.18,27.43
osmosis,49.81,21.21
sei,14.23,17.15
solana,100.0,28.32
sui,53.38,17.46
tezos,89.78,28.83
