chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.54
celestia,69.46,23.68
cosmoshub,94.85,28.14
injective,46.13,21.83
near,99.6,27.63
osmosis,70.16,21.95
sei,25.78,17.54
solana,100.0,28.53
sui,72.89,18.08
tezos,98.71,29.01
