chain,bound_reduction_%,mu_reduction_%
avalanche,99.76,27.24
celestia,29.94,22.6
cosmoshub,68.7,27.66
injective,15.2,20.59
near,88.93,27.32
osmosis,27.73,20.62
sei,4.51,16.81
solana,99.94,28.14
sui,32.04,16.95
tezos,62.57,28.67
