chain,bound_reduction_%,mu_reduction_%
avalanche,99.67,27.23
celestia,29.95,21.55
cosmoshub,63.75,27.72
injective,12.88,20.86
near,90.96,27.63
osmosis,36.32,21.11
sei,7.29,16.03
solana,99.93,28.22
sui,31.66,16.99
tezos,88.24,29.06
