chain,bound_reduction_%,mu_reduction_%
avalanche,99.75,27.24
celestia,29.94,22.6
cosmoshub,68.7,27.66
injective,15.15,20.6
near,89.55,27.34
osmosis,27.78,20.61
sei,4.51,16.81
solana,99.92,28.14
sui,32.01,16.95
tezos,62.25,28.67
