chain,bound_reduction_%,mu_reduction_%
avalanche,97.66,27.25
celestia,23.89,21.9
cosmoshub,45.91,27.45
injective,10.6,21.12
near,74.22,27.37
osmosis,13.02,20.62
sei,1.37,15.46
solana,98.99,28.13
sui,16.66,16.7
tezos,63.35,28.62
