file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,872,0.000,348,0.200,70.936408,7.173885e-05,0.000000
avalanche_weights.csv,872,0.100,348,0.200,64.401483,1.035882e-06,0.000000
avalanche_weights.csv,872,0.200,348,0.200,57.866557,3.511627e-09,0.000000
avalanche_weights.csv,872,0.300,348,0.200,51.331632,1.606875e-12,0.000000
avalanche_weights.csv,872,0.000,348,0.250,90.475792,9.069808e-02,0.000000
avalanche_weights.csv,872,0.100,348,0.250,82.186470,9.684403e-03,0.000000
avalanche_weights.csv,872,0.200,348,0.250,73.897148,3.367989e-04,0.000000
avalanche_weights.csv,872,0.300,348,0.250,65.607825,2.493632e-06,0.000000
avalanche_weights.csv,872,0.000,348,0.300,104.424881,6.520157e-01,0.000000
avalanche_weights.csv,872,0.100,348,0.300,94.900283,2.093517e-01,0.000000
avalanche_weights.csv,872,0.200,348,0.300,85.375685,2.568998e-02,0.000000
avalanche_weights.csv,872,0.300,348,0.300,75.851087,8.386046e-04,0.000000
avalanche_weights.csv,872,0.000,348,0.330,117.177845,1.000000e+00,0.000000
avalanche_weights.csv,872,0.100,348,0.330,106.537583,7.556755e-01,0.000000
avalanche_weights.csv,872,0.200,348,0.330,95.897322,2.454434e-01,0.000000
avalanche_weights.csv,872,0.300,348,0.330,85.257060,2.484223e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.800054,4.591272e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.120049,3.276895e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.440043,2.109712e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.760038,1.187695e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.146736,7.163509e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.372063,5.722950e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.597389,4.191143e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.822715,2.741821e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.472442,9.803876e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.545197,9.118167e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.617953,7.933646e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.690709,6.335562e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.333876,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.360488,9.748000e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.387101,8.950457e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.413713,7.612060e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.905488,4.650968e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,18.034939,2.523140e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,16.164391,1.028481e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,14.293842,2.815602e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.909660,8.143432e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.778694,5.734123e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.647728,3.168139e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.516762,1.250413e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.733981,9.887954e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.360583,8.555905e-01,0.000000
