chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.69
celestia,69.66,23.66
cosmoshub,94.74,28.15
injective,46.12,21.83
near,99.65,27.64
osmosis,70.04,21.97
sei,25.52,17.64
solana,100.0,28.62
sui,72.87,18.09
tezos,99.01,28.99
