chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.52
celestia,55.83,23.37
cosmoshub,85.35,27.89
injective,27.7,21.4
near,95.56,27.45
osmosis,49.68,21.22
sei,13.9,17.24
solana,100.0,28.43
sui,53.36,17.46
tezos,91.43,28.82
