chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.67
celestia,74.04,23.19
cosmoshub,98.6,28.52
injective,47.36,21.62
near,99.71,27.74
osmosis,76.96,22.8
sei,26.83,17.14
solana,100.0,28.65
sui,72.74,18.13
tezos,98.66,28.97
