chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.4
celestia,53.66,22.22
cosmoshub,92.43,28.26
injective,29.15,21.21
near,96.93,27.71
osmosis,58.28,21.77
sei,16.5,16.4
solana,100.0,28.47
sui,53.25,17.48
tezos,82.12,28.86
