chain,bound_reduction_%,mu_reduction_%
avalanche,96.78,27.2
celestia,22.18,20.99
cosmoshub,63.23,27.73
injective,3.34,20.25
near,79.3,27.56
osmosis,14.98,20.47
sei,0.96,15.71
solana,99.02,28.08
sui,16.53,16.71
tezos,43.55,28.71
