chain,bound_reduction_%,mu_reduction_%
avalanche,98.35,27.27
celestia,23.05,20.93
cosmoshub,62.8,27.73
injective,10.46,21.13
near,77.68,27.64
osmosis,15.09,20.46
sei,2.06,15.1
solana,99.2,28.15
sui,17.57,16.77
tezos,43.44,28.71
