chain,bound_reduction_%,mu_reduction_%
avalanche,99.92,27.54
celestia,42.58,23.0
cosmoshub,66.39,27.69
injective,10.4,21.14
near,88.18,27.38
osmosis,36.6,21.08
sei,7.77,15.89
solana,99.92,28.26
sui,31.9,16.96
tezos,61.55,28.6
