chain,bound_reduction_%,mu_reduction_%
avalanche,98.02,27.43
celestia,17.21,22.26
cosmoshub,43.48,27.48
injective,10.4,21.14
near,75.22,27.29
osmosis,14.24,20.53
sei,1.58,15.34
solana,98.94,28.13
sui,16.86,16.68
tezos,61.55,28.6
