chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.65
celestia,57.44,23.26
cosmoshub,84.23,27.91
injective,26.61,21.54
near,95.51,27.45
osmosis,58.66,21.73
sei,16.43,16.43
solana,100.0,28.52
sui,53.36,17.46
tezos,89.13,28.76
