file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,917,0.000,366,0.200,74.721249,4.670587e-05,0.000000
avalanche_weights.csv,917,0.100,366,0.200,67.807902,5.372616e-07,0.000000
avalanche_weights.csv,917,0.200,366,0.200,60.894556,1.328759e-09,0.000000
avalanche_weights.csv,917,0.300,366,0.200,53.981210,3.914466e-13,0.000000
avalanche_weights.csv,917,0.000,366,0.250,94.902704,7.584950e-02,0.000000
avalanche_weights.csv,917,0.100,366,0.250,86.170776,6.972027e-03,0.000000
avalanche_weights.csv,917,0.200,366,0.250,77.438848,1.940542e-04,0.000000
avalanche_weights.csv,917,0.300,366,0.250,68.706920,1.037113e-06,0.000000
avalanche_weights.csv,917,0.000,366,0.300,113.272762,7.992084e-01,0.000000
avalanche_weights.csv,917,0.100,366,0.300,102.903392,3.068784e-01,0.000000
avalanche_weights.csv,917,0.200,366,0.300,92.534022,4.382038e-02,0.000000
avalanche_weights.csv,917,0.300,366,0.300,82.164652,1.600077e-03,0.000000
avalanche_weights.csv,917,0.000,366,0.330,123.098256,1.000000e+00,0.000000
avalanche_weights.csv,917,0.100,366,0.330,111.866075,7.363792e-01,0.000000
avalanche_weights.csv,917,0.200,366,0.330,100.633894,2.204429e-01,0.000000
avalanche_weights.csv,917,0.300,366,0.330,89.401713,1.902364e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.245679,5.474935e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.521111,4.041833e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.796543,2.696397e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.071975,1.575699e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.673204,8.017179e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.845884,6.624859e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.018563,5.025259e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.191243,3.409599e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,13.129679,9.989476e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,12.136711,9.614362e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,11.143743,8.664005e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.150775,7.170515e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.958103,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.922292,9.956513e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.886482,9.429852e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.850672,8.274998e-01,0.000000
